1;Diamanten;2000;0;0
2;Gold;8000;0;0
3;Silber;10000;0;0
4;Kupfer;15000;0;0
5;Schweinehaelften;4000000;0;0
6;Parmesan;4000000;0;0
7;Diesel;5000000;0;0
8;Aluminium;16000000;0;0
9;Kakaobohnen;4000000;0;0
10;Kaffee;4000000;0;0
11;Uran;1300000;0;0
12;Reis;5000000;0;0
13;Holz;80000000;0;0
14;Mamor;1700000;0;0
15;Strom;75000000;0;0
16;Silizium;5000000;0;0
17;Wasser;100000000;0;0
18;Seide;40000000;0;0
19;Baumwolle;50000000;0;0
20;Kohle;75000000;0;0
21;Gas;90000000;0;0
22;Zigaretten;6500000;0;0
23;Rhodium;5000000;0;0
24;Granit;500000;0;0
25;Heuballen;11000000;0;0
26;Strohballen;11000000;0;0
27;Mais;80000000;0;0
28;Weizen;80000000;0;0
29;Hafer;80000000;0;0
30;Raps;80000000;0;0
31;Palmoel;80000000;0;0
32;Sojabohnen;80000000;0;0
33;Blei;50000000;0;0
34;Eisenerz;50000000;0;0
35;Nickel;50000000;0;0
36;Zinn;50000000;0;0
37;Zink;50000000;0;0
38;Ethanol;75000000;0;0
39;Platin;5000000;0;0
40;Palladium;5000000;0;0
41;HueÅhnereier;80000000;0;0
42;Milch;80000000;0;0
43;Aepfel;80000000;0;0
44;Birnen;80000000;0;0
45;Bananen;80000000;0;0
46;Orangensaft;80000000;0;0
47;Rubine;32000;0;0
48;Saphire;33000;0;0
49;Smaragte;30000;0;0
50;Roggen;80000000;0;0
51;Kartoffeln;80000000;0;0
52;ZuckerrueÅben;80000000;0;0
53;Gerste;80000000;0;0
54;Hopfen;80000000;0;0
55;Malz;80000000;0;0
56;Zucker;80000000;0;0
57;Salz;60000000;0;0
58;Pfeffer;60000000;0;0
59;Benzin;5000000;0;0
60;Oel;10000000;0;0
61;Rind;90000000;0;0
62;Ton;70000000;0;0
63;Lehm;70000000;0;0
64;Quarz;70000000;0;0
65;Argon;5000000;0;0
66;Helium;5000000;0;0
67;Neon;5000000;0;0
68;Xenon;5000000;0;0
69;Krypton;5000000;0;0
70;Radon;5000000;0;0
71;Schwarzpulver;9000000;0;0
72;Chrom;9000000;0;0
73;Wolfram;9000000;0;0
74;Titan;9000000;0;0
75;Kautschuk;9000000;0;0
76;Quecksilber;9000000;0;0
77;Lithium;9000000;0;0
78;Magnesium;9000000;0;0
79;Calcium;9000000;0;0
80;Kalium;9000000;0;0
